时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 16:31:16.545,COM3, -0.910, -0.471, 0.256, 14.221, -5.615, 15.259, -61.414, 58.832, 15.276, 45.91,
 16:31:16.545,COM3, -0.929, -0.471, 0.256, 14.221, -5.615, 15.259, -61.084, 58.936, 15.513, 45.91,
 16:31:16.545,COM3, -0.929, -0.470, 0.243, 11.353, -8.728, 9.216, -60.787, 58.969, 15.743, 45.92,
 16:31:16.545,COM3, -0.916, -0.470, 0.243, 11.353, -8.728, 9.216, -60.491, 59.008, 15.980, 45.92,
 16:31:16.545,COM3, -0.916, -0.379, 0.248, 16.541, 4.333, 21.973, -60.222, 59.222, 16.117, 45.92,
 16:31:16.545,COM3, -0.949, -0.379, 0.248, 16.541, 4.333, 21.973, -59.952, 59.436, 16.254, 45.92,
 16:31:16.545,COM3, -0.949, -0.396, 0.199, -3.418, 15.198, 10.620, -60.134, 59.606, 16.100, 45.91,
 16:31:16.545,COM3, -0.829, -0.396, 0.199, -3.418, 15.198, 10.620, -60.315, 59.782, 15.941, 45.91,
 16:31:16.612,COM3, -0.829, -0.566, 0.252, -3.113, 13.611, -14.221, -60.688, 59.727, 15.562, 45.93,
 16:31:16.612,COM3, -0.846, -0.566, 0.252, -3.113, 13.611, -14.221, -61.051, 59.667, 15.189, 45.93,
 16:31:16.612,COM3, -0.846, -0.455, 0.253, -2.686, 7.629, -3.418, -61.232, 59.672, 15.024, 45.93,
 16:31:16.612,COM3, -0.679, -0.455, 0.253, -2.686, 7.629, -3.418, -61.414, 59.678, 14.854, 45.93,
 16:31:16.612,COM3, -0.679, -0.472, 0.279, -10.559, 4.211, -5.554, -61.633, 59.639, 14.727, 45.92,
 16:31:16.612,COM3, -0.729, -0.472, 0.279, -10.559, 4.211, -5.554, -61.853, 59.601, 14.601, 45.92,
 16:31:16.612,COM3, -0.729, -0.521, 0.239, -5.676, 4.517, -1.465, -61.990, 59.601, 14.507, 45.92,
 16:31:16.612,COM3, -0.657, -0.521, 0.239, -5.676, 4.517, -1.465, -62.133, 59.590, 14.414, 45.92,
