时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 16:13:36.325,COM4, 0.204, -0.051, 0.985, -4.333, -0.366, 3.601, -3.549, -10.734, 75.992, 47.21,
 16:13:36.326,COM4, 0.204, -0.064, 0.970, -4.395, 1.587, 4.150, -3.593, -10.723, 76.025, 47.22,
 16:13:36.326,COM4, 0.215, -0.064, 0.970, -4.395, 1.587, 4.150, -3.642, -10.701, 76.064, 47.22,
 16:13:36.327,COM4, 0.215, -0.078, 0.946, -3.235, 3.113, 4.395, -3.686, -10.673, 76.097, 47.21,
 16:13:36.327,COM4, 0.260, -0.078, 0.946, -3.235, 3.113, 4.395, -3.719, -10.640, 76.135, 47.21,
 16:13:36.327,COM4, 0.260, -0.113, 0.945, -1.099, 4.944, 5.005, -3.752, -10.602, 76.174, 47.22,
 16:13:36.327,COM4, 0.267, -0.113, 0.945, -1.099, 4.944, 5.005, -3.768, -10.552, 76.212, 47.22,
 16:13:36.327,COM4, 0.267, -0.121, 0.972, 0.977, 3.296, 6.836, -3.779, -10.514, 76.262, 47.23,
 16:13:36.327,COM4, 0.237, -0.121, 0.972, 0.977, 3.296, 6.836, -3.785, -10.486, 76.328, 47.23,
 16:13:36.406,COM4, 0.237, -0.116, 0.958, 2.930, 1.282, 7.935, -3.785, -10.470, 76.393, 47.22,
 16:13:36.406,COM4, 0.155, -0.116, 0.958, 2.930, 1.282, 7.935, -3.779, -10.464, 76.465, 47.22,
 16:13:36.406,COM4, 0.155, -0.126, 0.922, 7.507, -3.418, 7.874, -3.746, -10.486, 76.542, 47.21,
 16:13:36.406,COM4, 0.173, -0.126, 0.922, 7.507, -3.418, 7.874, -3.697, -10.525, 76.613, 47.21,
 16:13:36.406,COM4, 0.173, -0.150, 0.951, 14.832, -11.780, 6.714, -3.609, -10.602, 76.690, 47.22,
 16:13:36.406,COM4, 0.167, -0.150, 0.951, 14.832, -11.780, 6.714, -3.494, -10.723, 76.756, 47.22,
 16:13:36.406,COM4, 0.167, -0.103, 1.013, 20.691, -20.996, 4.395, -3.340, -10.887, 76.816, 47.20,
