时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 15:00:10.114,COM3, -0.096, 0.785, 0.061, -61.401, 2.991, -169.250, 70.851, 35.700, -123.365, 45.47,
 15:00:10.114,COM3, -0.096, 0.753, 0.047, -59.509, -3.052, -160.889, 69.917, 37.068, -124.080, 45.47,
 15:00:10.114,COM3, -0.080, 0.753, 0.047, -59.509, -3.052, -160.889, 68.950, 38.370, -124.843, 45.47,
 15:00:10.114,COM3, -0.080, 0.734, 0.027, -57.739, -6.042, -149.231, 67.967, 39.595, -125.640, 45.47,
 15:00:10.114,COM3, -0.061, 0.734, 0.027, -57.739, -6.042, -149.231, 66.967, 40.743, -126.458, 45.47,
 15:00:10.114,COM3, -0.061, 0.707, 0.003, -54.504, -4.517, -133.484, 65.989, 41.803, -127.260, 45.48,
 15:00:10.114,COM3, -0.044, 0.707, 0.003, -54.504, -4.517, -133.484, 65.039, 42.786, -128.046, 45.48,
 15:00:10.114,COM3, -0.044, 0.687, -0.018, -48.462, 0.732, -113.403, 64.160, 43.671, -128.765, 45.46,
 15:00:10.166,COM3, -0.038, 0.687, -0.018, -48.462, 0.732, -113.403, 63.353, 44.462, -129.413, 45.46,
 15:00:10.166,COM3, -0.038, 0.685, -0.028, -40.710, 7.568, -89.050, 62.661, 45.154, -129.963, 45.47,
 15:00:10.166,COM3, -0.042, 0.685, -0.028, -40.710, 7.568, -89.050, 62.084, 45.742, -130.397, 45.47,
 15:00:10.166,COM3, -0.042, 0.706, -0.029, -31.921, 14.099, -60.059, 61.650, 46.214, -130.699, 45.47,
 15:00:10.166,COM3, -0.057, 0.706, -0.029, -31.921, 14.099, -60.059, 61.364, 46.571, -130.864, 45.47,
 15:00:10.166,COM3, -0.057, 0.755, -0.040, -23.071, 20.386, -26.001, 61.238, 46.791, -130.869, 45.48,
 15:00:10.166,COM3, -0.068, 0.755, -0.040, -23.071, 20.386, -26.001, 61.276, 46.873, -130.710, 45.48,
 15:00:10.166,COM3, -0.068, 0.787, -0.066, -14.954, 28.809, 10.193, 61.490, 46.818, -130.369, 45.48,
 15:00:10.166,COM3, -0.086, 0.787, -0.066, -14.954, 28.809, 10.193, 61.875, 46.626, -129.847, 45.48,
 15:00:10.249,COM3, -0.086, 0.807, -0.092, -4.395, 39.246, 48.828, 62.457, 46.285, -129.139, 45.46,
 15:00:10.249,COM3, -0.092, 0.807, -0.092, -4.395, 39.246, 48.828, 63.215, 45.797, -128.243, 45.46,
 15:00:10.249,COM3, -0.092, 0.846, -0.109, 8.667, 48.401, 88.379, 64.149, 45.143, -127.183, 45.47,
 15:00:10.249,COM3, -0.074, 0.846, -0.109, 8.667, 48.401, 88.379, 65.242, 44.319, -125.980, 45.47,
 15:00:10.249,COM3, -0.074, 0.940, -0.113, 24.170, 56.580, 128.662, 66.484, 43.319, -124.656, 45.48,
 15:00:10.249,COM3, -0.089, 0.940, -0.113, 24.170, 56.580, 128.662, 67.846, 42.133, -123.234, 45.48,
 15:00:10.249,COM3, -0.089, 1.107, -0.125, 38.696, 64.148, 169.617, 69.307, 40.754, -121.740, 45.48,
 15:00:10.249,COM3, -0.172, 1.107, -0.125, 38.696, 64.148, 169.617, 70.840, 39.172, -120.190, 45.48,
 15:00:10.249,COM3, -0.172, 1.243, -0.127, 46.326, 64.880, 207.581, 72.356, 37.386, -118.658, 45.46,
 15:00:10.338,COM3, -0.243, 1.243, -0.127, 46.326, 64.880, 207.581, 73.856, 35.403, -117.153, 45.46,
 15:00:10.338,COM3, -0.243, 1.246, -0.053, 49.316, 55.420, 234.680, 75.245, 33.256, -115.768, 45.47,
 15:00:10.338,COM3, -0.291, 1.246, -0.053, 49.316, 55.420, 234.680, 76.542, 30.959, -114.505, 45.47,
 15:00:10.338,COM3, -0.291, 1.280, 0.111, 53.833, 33.325, 246.460, 77.706, 28.575, -113.439, 45.47,
 15:00:10.338,COM3, -0.261, 1.280, 0.111, 53.833, 33.325, 246.460, 78.750, 26.109, -112.566, 45.47,
 15:00:10.338,COM3, -0.261, 1.474, 0.208, 51.697, -2.625, 245.056, 79.629, 23.626, -111.962, 45.47,
 15:00:10.338,COM3, -0.062, 1.474, 0.208, 51.697, -2.625, 245.056, 80.365, 21.121, -111.605, 45.47,
 15:00:10.338,COM3, -0.062, 1.626, 0.079, 43.640, -17.883, 233.398, 80.991, 18.677, -111.379, 45.48,
 15:00:10.338,COM3, 0.049, 1.626, 0.079, 43.640, -17.883, 233.398, 81.524, 16.282, -111.270, 45.48,
 15:00:10.426,COM3, 0.049, 1.678, -0.119, 35.156, 4.578, 217.590, 82.024, 13.986, -111.088, 45.47,
 15:00:10.426,COM3, 0.000, 1.678, -0.119, 35.156, 4.578, 217.590, 82.496, 11.794, -110.825, 45.47,
 15:00:10.426,COM3, 0.000, 1.596, -0.181, 22.766, 43.396, 204.590, 82.919, 9.690, -110.396, 45.47,
 15:00:10.426,COM3, -0.042, 1.596, -0.181, 22.766, 43.396, 204.590, 83.293, 7.685, -109.797, 45.47,
 15:00:10.426,COM3, -0.042, 1.457, -0.055, 18.188, 87.646, 189.331, 83.644, 5.779, -109.006, 45.47,
 15:00:10.426,COM3, -0.086, 1.457, -0.055, 18.188, 87.646, 189.331, 83.969, 3.983, -108.018, 45.47,
 15:00:10.426,COM3, -0.086, 1.376, 0.097, 19.470, 139.160, 168.762, 84.271, 2.318, -106.793, 45.47,
 15:00:10.426,COM3, -0.201, 1.376, 0.097, 19.470, 139.160, 168.762, 84.545, 0.780, -105.337, 45.47,
 15:00:10.426,COM3, -0.201, 1.256, 0.150, 16.418, 171.265, 150.574, 84.765, -0.637, -103.733, 45.48,
 15:00:10.524,COM3, -0.344, 1.256, 0.150, 16.418, 171.265, 150.574, 84.919, -1.956, -101.986, 45.48,
 15:00:10.524,COM3, -0.344, 1.111, 0.145, 14.832, 170.349, 136.841, 85.023, -3.192, -100.250, 45.47,
 15:00:10.524,COM3, -0.415, 1.111, 0.145, 14.832, 170.349, 136.841, 85.084, -4.356, -98.525, 45.47,
 15:00:10.524,COM3, -0.415, 0.975, 0.130, 12.329, 141.235, 123.413, 85.100, -5.449, -96.954, 45.47,
 15:00:10.524,COM3, -0.384, 0.975, 0.130, 12.329, 141.235, 123.413, 85.095, -6.471, -95.526, 45.47,
 15:00:10.524,COM3, -0.384, 0.850, 0.149, 10.071, 111.938, 111.450, 85.067, -7.438, -94.246, 45.47,
 15:00:10.524,COM3, -0.376, 0.850, 0.149, 10.071, 111.938, 111.450, 85.023, -8.344, -93.120, 45.47,
 15:00:10.524,COM3, -0.376, 0.781, 0.174, 7.996, 89.355, 102.112, 84.968, -9.196, -92.104, 45.48,
 15:00:10.621,COM3, -0.361, 0.781, 0.174, 7.996, 89.355, 102.112, 84.902, -10.003, -91.198, 45.48,
 15:00:10.621,COM3, -0.361, 0.744, 0.183, 5.371, 76.538, 95.154, 84.825, -10.772, -90.363, 45.49,
 15:00:10.621,COM3, -0.359, 0.744, 0.183, 5.371, 76.538, 95.154, 84.727, -11.497, -89.588, 45.49,
 15:00:10.621,COM3, -0.359, 0.720, 0.152, 3.418, 74.341, 88.928, 84.611, -12.178, -88.819, 45.48,
 15:00:10.621,COM3, -0.387, 0.720, 0.152, 3.418, 74.341, 88.928, 84.479, -12.827, -88.066, 45.48,
 15:00:10.621,COM3, -0.387, 0.720, 0.122, 2.930, 70.740, 83.801, 84.337, -13.436, -87.325, 45.48,
 15:00:10.621,COM3, -0.402, 0.720, 0.122, 2.930, 70.740, 83.801, 84.188, -14.013, -86.600, 45.48,
 15:00:10.621,COM3, -0.402, 0.766, 0.122, 2.441, 61.829, 78.247, 84.045, -14.551, -85.919, 45.47,
 15:00:10.621,COM3, -0.416, 0.766, 0.122, 2.441, 61.829, 78.247, 83.903, -15.062, -85.281, 45.47,
 15:00:10.685,COM3, -0.416, 0.825, 0.142, 0.549, 51.270, 71.594, 83.754, -15.540, -84.699, 45.47,
 15:00:10.685,COM3, -0.436, 0.825, 0.142, 0.549, 51.270, 71.594, 83.611, -15.980, -84.172, 45.47,
 15:00:10.685,COM3, -0.436, 0.862, 0.160, -0.671, 42.358, 63.904, 83.474, -16.375, -83.694, 45.48,
 15:00:10.685,COM3, -0.460, 0.862, 0.160, -0.671, 42.358, 63.904, 83.337, -16.738, -83.260, 45.48,
 15:00:10.685,COM3, -0.460, 0.887, 0.184, 0.854, 34.241, 53.833, 83.221, -17.045, -82.870, 45.47,
 15:00:10.685,COM3, -0.479, 0.887, 0.184, 0.854, 34.241, 53.833, 83.123, -17.303, -82.529, 45.47,
 15:00:10.685,COM3, -0.479, 0.948, 0.191, 3.723, 23.621, 40.588, 83.051, -17.501, -82.249, 45.48,
 15:00:10.685,COM3, -0.501, 0.948, 0.191, 3.723, 23.621, 40.588, 83.013, -17.633, -82.029, 45.48,
