时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 20:53:43.905,COM3, 0.018, 0.993, -0.023, 3.662, 7.019, -39.246, 92.296, 2.878, 18.671, 46.03,
 20:53:43.905,COM3, 0.028, 0.993, -0.023, 3.662, 7.019, -39.246, 92.340, 3.263, 18.765, 46.03,
 20:53:43.905,COM3, 0.028, 0.987, -0.021, 2.380, 4.700, -33.813, 92.373, 3.615, 18.842, 46.04,
 20:53:43.905,COM3, 0.043, 0.987, -0.021, 2.380, 4.700, -33.813, 92.401, 3.933, 18.913, 46.04,
 20:53:43.905,COM3, 0.043, 0.980, -0.019, 1.465, 3.662, -28.687, 92.422, 4.224, 18.973, 46.04,
 20:53:43.905,COM3, 0.050, 0.980, -0.019, 1.465, 3.662, -28.687, 92.439, 4.488, 19.028, 46.04,
 20:53:43.905,COM3, 0.050, 0.971, -0.018, 1.038, 4.150, -23.499, 92.455, 4.724, 19.083, 46.03,
 20:53:43.905,COM3, 0.045, 0.971, -0.018, 1.038, 4.150, -23.499, 92.466, 4.927, 19.144, 46.03,
 20:53:43.908,COM3, 0.045, 0.969, -0.019, 0.916, 5.432, -17.700, 92.477, 5.098, 19.204, 46.05,
 20:53:43.961,COM3, 0.042, 0.969, -0.019, 0.916, 5.432, -17.700, 92.488, 5.240, 19.276, 46.05,
 20:53:43.961,COM3, 0.042, 0.973, -0.030, 0.000, 7.141, -12.634, 92.494, 5.350, 19.347, 46.04,
 20:53:43.961,COM3, 0.036, 0.973, -0.030, 0.000, 7.141, -12.634, 92.499, 5.438, 19.429, 46.04,
 20:53:43.961,COM3, 0.036, 0.966, -0.042, -0.549, 9.277, -8.240, 92.499, 5.499, 19.523, 46.04,
 20:53:43.961,COM3, 0.025, 0.966, -0.042, -0.549, 9.277, -8.240, 92.499, 5.537, 19.627, 46.04,
 20:53:43.961,COM3, 0.025, 0.973, -0.054, -1.160, 10.925, -4.700, 92.499, 5.554, 19.737, 46.05,
 20:53:43.961,COM3, 0.016, 0.973, -0.054, -1.160, 10.925, -4.700, 92.494, 5.559, 19.852, 46.05,
 20:53:43.961,COM3, 0.016, 0.969, -0.064, -1.892, 12.451, -1.953, 92.488, 5.543, 19.979, 46.05,
 20:53:44.043,COM3, -0.002, 0.969, -0.064, -1.892, 12.451, -1.953, 92.483, 5.521, 20.110, 46.05,
