时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 09:41:42.232,COM3, -0.192, -0.182, 0.967, -0.854, -1.038, 4.456, -10.783, 11.695, 32.113, 45.76,
 09:41:42.233,COM3, -0.209, -0.182, 0.967, -0.854, -1.038, 4.456, -10.783, 11.689, 32.162, 45.76,
 09:41:42.233,COM3, -0.209, -0.184, 0.979, -1.160, -0.671, 3.723, -10.783, 11.684, 32.206, 45.75,
 09:41:42.233,COM3, -0.219, -0.184, 0.979, -1.160, -0.671, 3.723, -10.789, 11.678, 32.245, 45.75,
 09:41:42.233,COM3, -0.219, -0.176, 0.982, -2.563, -0.610, 2.991, -10.800, 11.678, 32.278, 45.77,
 09:41:42.233,COM3, -0.221, -0.176, 0.982, -2.563, -0.610, 2.991, -10.816, 11.673, 32.305, 45.77,
 09:41:42.233,COM3, -0.221, -0.177, 0.975, -3.845, -1.831, 2.136, -10.844, 11.662, 32.338, 45.76,
 09:41:42.233,COM3, -0.214, -0.177, 0.975, -3.845, -1.831, 2.136, -10.876, 11.651, 32.360, 45.76,
 09:41:42.233,COM3, -0.214, -0.182, 0.966, -4.639, -3.052, 1.099, -10.909, 11.629, 32.382, 45.76,
 09:41:42.322,COM3, -0.207, -0.182, 0.966, -4.639, -3.052, 1.099, -10.953, 11.602, 32.399, 45.76,
 09:41:42.322,COM3, -0.207, -0.190, 0.960, -4.700, -2.686, 0.488, -10.992, 11.574, 32.410, 45.77,
 09:41:42.322,COM3, -0.197, -0.190, 0.960, -4.700, -2.686, 0.488, -11.036, 11.552, 32.421, 45.77,
 09:41:42.322,COM3, -0.197, -0.197, 0.959, -4.578, -3.052, 0.488, -11.080, 11.525, 32.432, 45.75,
 09:41:42.322,COM3, -0.177, -0.197, 0.959, -4.578, -3.052, 0.488, -11.124, 11.497, 32.443, 45.75,
 09:41:42.322,COM3, -0.177, -0.204, 0.950, -3.906, -2.625, 0.671, -11.162, 11.470, 32.454, 45.77,
 09:41:42.322,COM3, -0.165, -0.204, 0.950, -3.906, -2.625, 0.671, -11.195, 11.448, 32.465, 45.77,
 09:41:42.322,COM3, -0.165, -0.210, 0.948, -2.563, -0.854, 1.221, -11.228, 11.431, 32.476, 45.77,
 09:41:42.322,COM3, -0.164, -0.210, 0.948, -2.563, -0.854, 1.221, -11.250, 11.426, 32.492, 45.77,
 09:41:42.409,COM3, -0.164, -0.208, 0.950, -0.977, 0.549, 2.075, -11.261, 11.426, 32.509, 45.77,
 09:41:42.409,COM3, -0.167, -0.208, 0.950, -0.977, 0.549, 2.075, -11.272, 11.431, 32.525, 45.77,
 09:41:42.409,COM3, -0.167, -0.203, 0.951, 0.061, 0.549, 3.113, -11.272, 11.437, 32.552, 45.76,
 09:41:42.409,COM3, -0.179, -0.203, 0.951, 0.061, 0.549, 3.113, -11.266, 11.442, 32.580, 45.76,
 09:41:42.409,COM3, -0.179, -0.201, 0.949, 1.343, -1.282, 3.845, -11.255, 11.442, 32.613, 45.77,
 09:41:42.409,COM3, -0.187, -0.201, 0.949, 1.343, -1.282, 3.845, -11.239, 11.431, 32.657, 45.77,
 09:41:42.409,COM3, -0.187, -0.202, 0.944, 2.014, -5.859, 4.028, -11.212, 11.398, 32.701, 45.77,
 09:41:42.409,COM3, -0.194, -0.202, 0.944, 2.014, -5.859, 4.028, -11.184, 11.343, 32.756, 45.77,
 09:41:42.505,COM3, -0.194, -0.208, 0.951, 2.380, -11.536, 4.028, -11.157, 11.266, 32.811, 45.77,
 09:41:42.505,COM3, -0.179, -0.208, 0.951, 2.380, -11.536, 4.028, -11.124, 11.157, 32.877, 45.77,
 09:41:42.505,COM3, -0.179, -0.205, 0.969, 3.174, -12.390, 4.211, -11.091, 11.047, 32.937, 45.78,
 09:41:42.505,COM3, -0.173, -0.205, 0.969, 3.174, -12.390, 4.211, -11.052, 10.931, 33.003, 45.78,
 09:41:42.505,COM3, -0.173, -0.193, 0.975, 3.235, -7.202, 4.089, -11.014, 10.838, 33.063, 45.77,
 09:41:42.505,COM3, -0.181, -0.193, 0.975, 3.235, -7.202, 4.089, -10.975, 10.778, 33.118, 45.77,
 09:41:42.505,COM3, -0.181, -0.191, 0.967, 3.174, -1.831, 3.967, -10.937, 10.739, 33.168, 45.76,
 09:41:42.505,COM3, -0.190, -0.191, 0.967, 3.174, -1.831, 3.967, -10.904, 10.728, 33.212, 45.76,
 09:41:42.505,COM3, -0.190, -0.193, 0.968, 2.930, -1.038, 4.272, -10.871, 10.717, 33.256, 45.77,
 09:41:42.580,COM3, -0.181, -0.193, 0.968, 2.930, -1.038, 4.272, -10.838, 10.717, 33.300, 45.77,
 09:41:42.580,COM3, -0.181, -0.203, 0.975, 2.441, -1.282, 5.371, -10.805, 10.712, 33.349, 45.76,
 09:41:42.580,COM3, -0.182, -0.203, 0.975, 2.441, -1.282, 5.371, -10.772, 10.712, 33.404, 45.76,
 09:41:42.580,COM3, -0.182, -0.212, 0.970, 1.709, -2.441, 6.592, -10.745, 10.701, 33.470, 45.77,
 09:41:42.580,COM3, -0.159, -0.212, 0.970, 1.709, -2.441, 6.592, -10.723, 10.690, 33.541, 45.77,
 09:41:42.580,COM3, -0.159, -0.212, 0.962, 1.892, -2.991, 8.240, -10.695, 10.673, 33.618, 45.77,
 09:41:42.580,COM3, -0.151, -0.212, 0.962, 1.892, -2.991, 8.240, -10.668, 10.657, 33.706, 45.77,
 09:41:42.580,COM3, -0.151, -0.206, 0.959, 1.709, -0.977, 10.071, -10.640, 10.651, 33.799, 45.77,
 09:41:42.580,COM3, -0.146, -0.206, 0.959, 1.709, -0.977, 10.071, -10.613, 10.657, 33.904, 45.77,
 09:41:42.667,COM3, -0.146, -0.209, 0.950, 1.404, -0.122, 13.367, -10.580, 10.668, 34.019, 45.77,
 09:41:42.667,COM3, -0.146, -0.209, 0.950, 1.404, -0.122, 13.367, -10.552, 10.690, 34.156, 45.77,
 09:41:42.667,COM3, -0.146, -0.231, 0.972, 2.014, 0.305, 17.029, -10.514, 10.712, 34.305, 45.78,
 09:41:42.667,COM3, -0.139, -0.231, 0.972, 2.014, 0.305, 17.029, -10.475, 10.739, 34.475, 45.78,
 09:41:42.667,COM3, -0.139, -0.245, 0.986, 2.747, 3.418, 22.522, -10.426, 10.783, 34.667, 45.77,
 09:41:42.667,COM3, -0.154, -0.245, 0.986, 2.747, 3.418, 22.522, -10.371, 10.849, 34.887, 45.77,
 09:41:42.667,COM3, -0.154, -0.236, 0.978, 2.075, 9.277, 27.893, -10.316, 10.948, 35.129, 45.77,
 09:41:42.667,COM3, -0.198, -0.236, 0.978, 2.075, 9.277, 27.893, -10.256, 11.074, 35.392, 45.77,
 09:41:42.667,COM3, -0.198, -0.208, 0.972, 1.526, 7.507, 31.006, -10.201, 11.201, 35.673, 45.77,
 09:41:42.757,COM3, -0.202, -0.208, 0.972, 1.526, 7.507, 31.006, -10.140, 11.316, 35.969, 45.77,
 09:41:42.757,COM3, -0.202, -0.175, 0.978, 1.099, 3.967, 31.006, -10.085, 11.415, 36.266, 45.78,
 09:41:42.757,COM3, -0.203, -0.175, 0.978, 1.099, 3.967, 31.006, -10.031, 11.497, 36.573, 45.78,
 09:41:42.757,COM3, -0.203, -0.174, 0.991, 1.282, 1.526, 27.466, -9.970, 11.563, 36.859, 45.78,
 09:41:42.757,COM3, -0.196, -0.174, 0.991, 1.282, 1.526, 27.466, -9.915, 11.618, 37.134, 45.78,
 09:41:42.757,COM3, -0.196, -0.140, 0.999, 1.160, 3.784, 23.254, -9.866, 11.678, 37.381, 45.77,
 09:41:42.757,COM3, -0.216, -0.140, 0.999, 1.160, 3.784, 23.254, -9.816, 11.750, 37.612, 45.77,
 09:41:42.757,COM3, -0.216, -0.124, 0.959, 1.953, 6.470, 19.409, -9.767, 11.827, 37.815, 45.77,
 09:41:42.757,COM3, -0.216, -0.124, 0.959, 1.953, 6.470, 19.409, -9.712, 11.915, 37.996, 45.77,
 09:41:42.870,COM3, -0.241, -0.124, 0.959, 1.953, 6.470, 19.409, -9.657, 12.003, 38.183, 45.77,
 09:41:42.870,COM3, -0.241, -0.096, 0.935, 4.333, 5.432, 14.587, -9.586, 12.074, 38.320, 45.77,
 09:41:42.870,COM3, -0.267, -0.096, 0.935, 4.333, 5.432, 14.587, -9.514, 12.151, 38.458, 45.77,
 09:41:42.870,COM3, -0.267, -0.069, 0.938, 6.714, 3.540, 8.423, -9.432, 12.195, 38.535, 45.77,
 09:41:42.870,COM3, -0.292, -0.069, 0.938, 6.714, 3.540, 8.423, -9.344, 12.244, 38.611, 45.77,
 09:41:42.870,COM3, -0.292, -0.039, 0.969, 4.944, 1.709, 1.221, -9.283, 12.266, 38.622, 45.76,
 09:41:42.870,COM3, -0.295, -0.039, 0.969, 4.944, 1.709, 1.221, -9.223, 12.288, 38.633, 45.76,
 09:41:42.870,COM3, -0.295, -0.057, 0.975, 1.587, -0.732, -6.531, -9.207, 12.277, 38.568, 45.78,
 09:41:42.926,COM3, -0.270, -0.057, 0.975, 1.587, -0.732, -6.531, -9.190, 12.272, 38.502, 45.78,
 09:41:42.926,COM3, -0.270, -0.089, 0.973, 1.343, -4.028, -13.000, -9.185, 12.217, 38.375, 45.77,
 09:41:42.926,COM3, -0.244, -0.089, 0.973, 1.343, -4.028, -13.000, -9.185, 12.173, 38.249, 45.77,
 09:41:42.926,COM3, -0.244, -0.112, 0.958, 0.732, -6.836, -18.250, -9.196, 12.085, 38.073, 45.77,
 09:41:42.926,COM3, -0.245, -0.112, 0.958, 0.732, -6.836, -18.250, -9.207, 12.003, 37.903, 45.77,
 09:41:42.926,COM3, -0.245, -0.145, 0.949, -0.366, -10.254, -21.729, -9.234, 11.882, 37.700, 45.77,
 09:41:42.926,COM3, -0.229, -0.145, 0.949, -0.366, -10.254, -21.729, -9.267, 11.755, 37.496, 45.77,
 09:41:42.926,COM3, -0.229, -0.182, 0.967, -2.441, -17.761, -20.996, -9.316, 11.563, 37.310, 45.78,
 09:41:42.926,COM3, -0.180, -0.182, 0.967, -2.441, -17.761, -20.996, -9.366, 11.371, 37.128, 45.78,
 09:41:43.015,COM3, -0.180, -0.197, 1.001, -4.517, -22.766, -17.151, -9.426, 11.129, 36.991, 45.77,
 09:41:43.015,COM3, -0.140, -0.197, 1.001, -4.517, -22.766, -17.151, -9.487, 10.893, 36.859, 45.77,
 09:41:43.015,COM3, -0.140, -0.188, 0.993, -3.784, -28.198, -13.672, -9.536, 10.607, 36.766, 45.78,
 09:41:43.015,COM3, -0.089, -0.188, 0.993, -3.784, -28.198, -13.672, -9.586, 10.316, 36.678, 45.78,
 09:41:43.015,COM3, -0.089, -0.162, 0.975, -3.723, -27.649, -10.620, -9.630, 10.036, 36.612, 45.78,
 09:41:43.015,COM3, -0.081, -0.162, 0.975, -3.723, -27.649, -10.620, -9.673, 9.750, 36.557, 45.78,
 09:41:43.015,COM3, -0.081, -0.144, 0.982, -3.296, -23.865, -8.179, -9.706, 9.509, 36.513, 45.78,
 09:41:43.015,COM3, -0.140, -0.144, 0.982, -3.296, -23.865, -8.179, -9.739, 9.261, 36.469, 45.78,
 09:41:43.015,COM3, -0.140, -0.082, 1.011, -2.808, -17.151, -7.813, -9.767, 9.086, 36.420, 45.78,
 09:41:43.103,COM3, -0.175, -0.082, 1.011, -2.808, -17.151, -7.813, -9.794, 8.904, 36.370, 45.78,
 09:41:43.103,COM3, -0.175, -0.050, 1.014, -3.174, -10.864, -10.498, -9.822, 8.784, 36.282, 45.77,
 09:41:43.103,COM3, -0.154, -0.050, 1.014, -3.174, -10.864, -10.498, -9.855, 8.663, 36.194, 45.77,
 09:41:43.103,COM3, -0.154, -0.036, 1.003, -4.028, -1.892, -16.174, -9.899, 8.624, 36.035, 45.78,
 09:41:43.103,COM3, -0.144, -0.036, 1.003, -4.028, -1.892, -16.174, -9.937, 8.580, 35.876, 45.78,
 09:41:43.103,COM3, -0.144, -0.060, 0.971, -5.554, 10.498, -22.278, -10.003, 8.652, 35.634, 45.78,
 09:41:43.103,COM3, -0.168, -0.060, 0.971, -5.554, 10.498, -22.278, -10.069, 8.718, 35.392, 45.78,
 09:41:43.103,COM3, -0.168, -0.098, 0.972, -6.714, 13.367, -27.710, -10.157, 8.800, 35.096, 45.77,
 09:41:43.103,COM3, -0.141, -0.098, 0.972, -6.714, 13.367, -27.710, -10.245, 8.888, 34.794, 45.77,
 09:41:43.224,COM3, -0.141, -0.144, 1.001, -7.385, 7.141, -29.724, -10.338, 8.904, 34.481, 45.78,
 09:41:43.224,COM3, -0.083, -0.144, 1.001, -7.385, 7.141, -29.724, -10.432, 8.921, 34.173, 45.78,
 09:41:43.224,COM3, -0.083, -0.193, 1.010, -9.094, 9.583, -28.137, -10.547, 8.965, 33.876, 45.78,
 09:41:43.224,COM3, -0.076, -0.193, 1.010, -9.094, 9.583, -28.137, -10.662, 9.003, 33.574, 45.78,
 09:41:43.224,COM3, -0.076, -0.259, 0.994, -10.437, 13.794, -24.597, -10.789, 9.086, 33.305, 45.79,
 09:41:43.224,COM3, -0.071, -0.259, 0.994, -10.437, 13.794, -24.597, -10.920, 9.163, 33.030, 45.79,
 09:41:43.224,COM3, -0.071, -0.323, 0.982, -10.559, 14.099, -19.470, -11.052, 9.256, 32.811, 45.78,
 09:41:43.224,COM3, -0.058, -0.323, 0.982, -10.559, 14.099, -19.470, -11.184, 9.338, 32.591, 45.78,
 09:41:43.289,COM3, -0.058, -0.369, 0.983, -8.484, 15.564, -13.550, -11.294, 9.448, 32.421, 45.77,
 09:41:43.289,COM3, -0.147, -0.369, 0.983, -8.484, 15.564, -13.550, -11.415, 9.553, 32.256, 45.77,
 09:41:43.289,COM3, -0.147, -0.334, 1.016, -6.104, 12.878, -8.728, -11.497, 9.646, 32.141, 45.79,
 09:41:43.289,COM3, -0.246, -0.334, 1.016, -6.104, 12.878, -8.728, -11.591, 9.734, 32.031, 45.79,
 09:41:43.289,COM3, -0.246, -0.247, 0.993, -6.226, -1.953, -8.545, -11.678, 9.679, 31.948, 45.79,
 09:41:43.289,COM3, -0.213, -0.247, 0.993, -6.226, -1.953, -8.545, -11.766, 9.630, 31.866, 45.79,
 09:41:43.289,COM3, -0.213, -0.197, 0.889, -3.967, -18.066, -5.554, -11.816, 9.437, 31.844, 45.79,
