时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 10:02:43.949,COM3, -0.635, -1.557, -0.287, 47.791, 40.527, 172.852, -100.344, -1.813, -73.762, 46.92,
 10:02:43.949,COM3, -0.635, -1.667, -0.333, 44.128, 37.842, 199.280, -99.882, 0.209, -74.394, 46.92,
 10:02:43.949,COM3, -0.633, -1.667, -0.333, 44.128, 37.842, 199.280, -99.448, 2.230, -75.009, 46.92,
 10:02:43.949,COM3, -0.633, -1.698, -0.339, 30.518, 35.889, 230.469, -99.185, 4.554, -75.646, 46.93,
 10:02:43.949,COM3, -0.560, -1.698, -0.339, 30.518, 35.889, 230.469, -98.954, 6.866, -76.273, 46.93,
 10:02:43.949,COM3, -0.560, -1.681, -0.344, 5.554, 40.588, 267.090, -99.020, 9.514, -77.009, 46.93,
 10:02:43.949,COM3, -0.538, -1.681, -0.344, 5.554, 40.588, 267.090, -99.124, 12.145, -77.750, 46.93,
 10:02:43.949,COM3, -0.538, -1.685, -0.342, -24.963, 46.448, 294.800, -99.597, 15.013, -78.624, 46.92,
 10:02:43.949,COM3, -0.511, -1.685, -0.342, -24.963, 46.448, 294.800, -100.129, 17.858, -79.536, 46.92,
 10:02:44.036,COM3, -0.511, -1.720, -0.358, -55.542, 46.326, 307.800, -101.030, 20.797, -80.519, 46.92,
 10:02:44.036,COM3, -0.513, -1.720, -0.358, -55.542, 46.326, 307.800, -102.008, 23.698, -81.579, 46.92,
 10:02:44.036,COM3, -0.513, -1.753, -0.407, -81.543, 16.418, 309.692, -103.189, 26.647, -82.403, 46.92,
 10:02:44.036,COM3, -0.421, -1.753, -0.407, -81.543, 16.418, 309.692, -104.453, 29.553, -83.320, 46.92,
 10:02:44.036,COM3, -0.421, -1.731, -0.457, -97.168, -17.090, 300.598, -105.754, 32.426, -83.936, 46.92,
