时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 21:52:59.541,COM3, -0.122, 0.943, -0.023, -25.452, -12.817, -63.782, 82.271, 23.357, 87.556, 47.04,
 21:52:59.542,COM3, -0.122, 0.935, -0.019, -24.292, -9.705, -56.641, 82.018, 23.807, 87.352, 47.04,
 21:52:59.542,COM3, -0.117, 0.935, -0.019, -24.292, -9.705, -56.641, 81.760, 24.252, 87.144, 47.04,
 21:52:59.542,COM3, -0.117, 0.917, -0.018, -23.071, -6.104, -48.584, 81.541, 24.620, 86.990, 47.05,
 21:52:59.542,COM3, -0.117, 0.917, -0.018, -23.071, -6.104, -48.584, 81.315, 24.988, 86.830, 47.05,
 21:52:59.542,COM3, -0.117, 0.896, -0.016, -20.264, -2.441, -39.368, 81.140, 25.269, 86.732, 47.03,
 21:52:59.542,COM3, -0.112, 0.896, -0.016, -20.264, -2.441, -39.368, 80.964, 25.543, 86.627, 47.03,
 21:52:59.542,COM3, -0.112, 0.892, -0.006, -16.724, 0.977, -29.541, 80.848, 25.730, 86.578, 47.04,
 21:52:59.620,COM3, -0.106, 0.892, -0.006, -16.724, 0.977, -29.541, 80.733, 25.911, 86.528, 47.04,
 21:52:59.620,COM3, -0.106, 0.894, 0.002, -14.160, 4.089, -19.836, 80.662, 25.999, 86.534, 47.03,
 21:52:59.620,COM3, -0.091, 0.894, 0.002, -14.160, 4.089, -19.836, 80.590, 26.093, 86.534, 47.03,
 21:52:59.620,COM3, -0.091, 0.900, 0.002, -12.451, 8.545, -10.376, 80.568, 26.093, 86.600, 47.03,
 21:52:59.620,COM3, -0.077, 0.900, 0.002, -12.451, 8.545, -10.376, 80.541, 26.098, 86.671, 47.03,
 21:52:59.620,COM3, -0.077, 0.906, -0.007, -12.573, 15.259, -1.709, 80.552, 26.021, 86.830, 47.05,
 21:52:59.620,COM3, -0.069, 0.906, -0.007, -12.573, 15.259, -1.709, 80.563, 25.950, 86.984, 47.05,
 21:52:59.620,COM3, -0.069, 0.901, -0.021, -14.099, 24.414, 5.920, 80.612, 25.812, 87.259, 47.04,
 21:52:59.620,COM3, -0.069, 0.901, -0.021, -14.099, 24.414, 5.920, 80.656, 25.675, 87.528, 47.04,
 21:52:59.731,COM3, -0.069, 0.880, -0.033, -15.686, 34.363, 12.939, 80.733, 25.488, 87.924, 47.05,
 21:52:59.731,COM3, -0.067, 0.880, -0.033, -15.686, 34.363, 12.939, 80.810, 25.296, 88.314, 47.05,
 21:52:59.731,COM3, -0.067, 0.865, -0.046, -15.747, 43.579, 20.020, 80.936, 25.054, 88.813, 47.04,
 21:52:59.731,COM3, -0.064, 0.865, -0.046, -15.747, 43.579, 20.020, 81.057, 24.807, 89.319, 47.04,
 21:52:59.731,COM3, -0.064, 0.869, -0.074, -15.442, 53.162, 27.649, 81.227, 24.505, 89.934, 47.04,
 21:52:59.731,COM3, -0.055, 0.869, -0.074, -15.442, 53.162, 27.649, 81.398, 24.197, 90.544, 47.04,
 21:52:59.731,COM3, -0.055, 0.889, -0.115, -14.038, 64.209, 36.865, 81.628, 23.813, 91.291, 47.04,
 21:52:59.731,COM3, -0.056, 0.889, -0.115, -14.038, 64.209, 36.865, 81.859, 23.428, 92.032, 47.04,
 21:52:59.731,COM3, -0.056, 0.921, -0.164, -12.268, 76.965, 47.302, 82.161, 22.956, 92.922, 47.04,
 21:52:59.797,COM3, -0.066, 0.921, -0.164, -12.268, 76.965, 47.302, 82.458, 22.484, 93.807, 47.04,
 21:52:59.797,COM3, -0.066, 0.950, -0.214, -9.460, 89.233, 58.960, 82.831, 21.907, 94.828, 47.05,
 21:52:59.797,COM3, -0.079, 0.950, -0.214, -9.460, 89.233, 58.960, 83.194, 21.330, 95.845, 47.05,
 21:52:59.797,COM3, -0.079, 0.984, -0.257, -4.517, 99.060, 71.472, 83.633, 20.632, 96.971, 47.05,
 21:52:59.797,COM3, -0.097, 0.984, -0.257, -4.517, 99.060, 71.472, 84.067, 19.935, 98.086, 47.05,
 21:52:59.797,COM3, -0.097, 1.015, -0.264, 2.136, 104.797, 84.656, 84.567, 19.105, 99.261, 47.05,
 21:52:59.797,COM3, -0.109, 1.015, -0.264, 2.136, 104.797, 84.656, 85.051, 18.270, 100.426, 47.05,
 21:52:59.797,COM3, -0.109, 1.066, -0.239, 13.489, 106.689, 99.243, 85.638, 17.287, 101.602, 47.03,
 21:52:59.797,COM3, -0.116, 1.066, -0.239, 13.489, 106.689, 99.243, 86.199, 16.304, 102.761, 47.03,
 21:52:59.887,COM3, -0.116, 1.156, -0.216, 25.024, 107.361, 114.014, 86.847, 15.161, 103.920, 47.04,
 21:52:59.887,COM3, -0.115, 1.156, -0.216, 25.024, 107.361, 114.014, 87.468, 14.019, 105.057, 47.04,
 21:52:59.887,COM3, -0.115, 1.252, -0.218, 34.119, 108.826, 127.197, 88.149, 12.739, 106.188, 47.05,
 21:52:59.887,COM3, -0.118, 1.252, -0.218, 34.119, 108.826, 127.197, 88.797, 11.453, 107.298, 47.05,
 21:52:59.887,COM3, -0.118, 1.284, -0.225, 38.757, 108.948, 137.390, 89.462, 10.058, 108.391, 47.04,
 21:52:59.887,COM3, -0.122, 1.284, -0.225, 38.757, 108.948, 137.390, 90.088, 8.663, 109.457, 47.04,
 21:52:59.887,COM3, -0.122, 1.261, -0.205, 44.983, 104.614, 144.897, 90.736, 7.185, 110.457, 47.05,
 21:52:59.887,COM3, -0.027, 1.261, -0.205, 44.983, 104.614, 144.897, 91.351, 5.713, 111.440, 47.05,
 21:52:59.977,COM3, -0.027, 1.306, -0.076, 46.143, 139.954, 137.634, 91.978, 4.296, 112.758, 47.05,
 21:52:59.977,COM3, -0.325, 1.306, -0.076, 46.143, 139.954, 137.634, 92.560, 2.867, 114.055, 47.05,
